circuit,vector_seed,vectors,budget,method,method_value,static_value,oracle_value,row_ideal_ratio_raw,loss,chosen_family
hyp,7089,128,0.2,segr_l3,3559527.0,1536353.0,4877593.0,0.7297712211740504,False,index_mid
i2c,7089,128,0.05,segr_l3,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,segr_l3,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,segr_l3,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
int2float,7089,128,0.05,segr_l3,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,segr_l3,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,segr_l3,1234.0,1151.0,1324.0,0.93202416918429,False,pdom_dist
log2,7089,128,0.05,segr_l3,137047.0,50268.0,197008.0,0.6956418013481686,False,sink_reach_near_pr
log2,7089,128,0.1,segr_l3,227326.0,74897.0,353573.0,0.6429393647139346,False,sink_reach_near_pr
log2,7089,128,0.2,segr_l3,370340.0,145152.0,574667.0,0.6444427816457183,False,sink_reach_near_pr
max,7089,128,0.05,segr_l3,8908.0,8908.0,16556.0,0.5380526697269872,False,pdom_dist
max,7089,128,0.1,segr_l3,17051.0,16777.0,32824.0,0.5194674628320741,False,pdom_dist
max,7089,128,0.2,segr_l3,27510.0,17870.0,60709.0,0.45314533265248974,False,pdom_dist
mem_ctrl,7089,128,0.05,segr_l3,184109.0,261189.0,286023.0,0.643685997279939,True,wl3_common_dist
mem_ctrl,7089,128,0.1,segr_l3,218508.0,387079.0,434533.0,0.5028570902555157,True,wl3_common_dist
mem_ctrl,7089,128,0.2,segr_l3,312350.0,451356.0,504088.0,0.6196338734506673,True,wl3_common_dist
multiplier,7089,128,0.05,segr_l3,68276.0,59077.0,171087.0,0.3990718172625623,False,mass_balance
multiplier,7089,128,0.1,segr_l3,150496.0,95714.0,325228.0,0.46273998548710443,False,mass_balance
multiplier,7089,128,0.2,segr_l3,303566.0,160423.0,550743.0,0.5511935694144092,False,mass_balance
priority,7089,128,0.05,segr_l3,3089.0,2834.0,4491.0,0.6878200846136718,False,wl3_common_dist
priority,7089,128,0.1,segr_l3,5834.0,5060.0,8146.0,0.7161797201080284,False,wl3_common_dist
priority,7089,128,0.2,segr_l3,10688.0,10158.0,14661.0,0.7290089352704454,False,wl3_common_dist
router,7089,128,0.05,segr_l3,788.0,544.0,1148.0,0.686411149825784,False,pdom_dist
router,7089,128,0.1,segr_l3,1107.0,955.0,1378.0,0.8033381712626996,False,pdom_dist
router,7089,128,0.2,segr_l3,1241.0,1128.0,1442.0,0.8606102635228848,False,pdom_dist
sin,7089,128,0.05,segr_l3,25903.0,15977.0,34560.0,0.7495081018518519,False,pdom_dist
sin,7089,128,0.1,segr_l3,46838.0,29131.0,68881.0,0.6799843207851222,False,pdom_dist
sin,7089,128,0.2,segr_l3,82905.0,56215.0,131020.0,0.6327659899252023,False,pdom_dist
sqrt,7089,128,0.05,segr_l3,17851.0,5379.0,33084.0,0.5395659533309153,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.1,segr_l3,37122.0,11582.0,50636.0,0.7331147799984201,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.2,segr_l3,58451.0,23931.0,72936.0,0.8014012284742789,False,role_depth_resonance_idx_inv_dist
square,7089,128,0.05,segr_l3,99946.0,90387.0,117504.0,0.8505752995642701,False,sink_reach_near_pr
square,7089,128,0.1,segr_l3,195570.0,171673.0,235008.0,0.8321844362745098,False,sink_reach_near_pr
square,7089,128,0.2,segr_l3,361780.0,328803.0,468825.0,0.771673865514851,False,sink_reach_near_pr
voter,7089,128,0.05,segr_l3,19379.0,17846.0,35517.0,0.5456260382352113,False,index_mid
voter,7089,128,0.1,segr_l3,38479.0,38209.0,64316.0,0.598280365694384,False,index_mid
voter,7089,128,0.2,segr_l3,78080.0,76717.0,111925.0,0.6976100067009158,False,index_mid
adder,7089,128,0.05,segr_h32,5760.0,4365.0,5760.0,1.0,False,mass_balance
adder,7089,128,0.1,segr_h32,11520.0,8720.0,11520.0,1.0,False,mass_balance
adder,7089,128,0.2,segr_h32,22912.0,17245.0,22912.0,1.0,False,mass_balance
arbiter,7089,128,0.05,segr_h32,36402.0,36110.0,43102.0,0.8445547770405085,False,pdom_dist
arbiter,7089,128,0.1,segr_h32,53987.0,50079.0,57142.0,0.944786671800077,False,pdom_dist
arbiter,7089,128,0.2,segr_h32,62691.0,61694.0,63284.0,0.9906295430124518,False,pdom_dist
bar,7089,128,0.05,segr_h32,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,segr_h32,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,segr_h32,39346.0,39326.0,39500.0,0.9961012658227848,False,pdom_dist
cavlc,7089,128,0.05,segr_h32,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,segr_h32,3038.0,2810.0,3300.0,0.9206060606060606,False,pdom_dist
cavlc,7089,128,0.2,segr_h32,3750.0,3512.0,3979.0,0.9424478512188992,False,pdom_dist
ctrl,7089,128,0.05,segr_h32,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,segr_h32,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,segr_h32,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
dec,7089,128,0.05,segr_h32,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,segr_h32,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,segr_h32,1280.0,1280.0,1280.0,1.0,False,index_mid
div,7089,128,0.05,segr_h32,89238.0,34215.0,120176.0,0.7425609106643589,False,inv_depth
div,7089,128,0.1,segr_h32,110055.0,47417.0,143757.0,0.7655627204240489,False,inv_depth
div,7089,128,0.2,segr_h32,117067.0,81956.0,151704.0,0.7716803775773875,False,inv_depth
hyp,7089,128,0.05,segr_h32,584504.0,764617.0,1316997.0,0.44381574141778607,True,mass_balance
hyp,7089,128,0.1,segr_h32,1204857.0,1083944.0,2574553.0,0.4679868699537357,False,mass_balance
hyp,7089,128,0.2,segr_h32,2172046.0,1536353.0,4877593.0,0.4453110376368016,False,mass_balance
i2c,7089,128,0.05,segr_h32,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,segr_h32,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,segr_h32,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
int2float,7089,128,0.05,segr_h32,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,segr_h32,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,segr_h32,1234.0,1151.0,1324.0,0.93202416918429,False,pdom_dist
log2,7089,128,0.05,segr_h32,130836.0,50268.0,197008.0,0.664115162836027,False,pdom_dist
log2,7089,128,0.1,segr_h32,217664.0,74897.0,353573.0,0.6156126174792759,False,pdom_dist
log2,7089,128,0.2,segr_h32,355754.0,145152.0,574667.0,0.6190611258346138,False,pdom_dist
max,7089,128,0.05,segr_h32,8908.0,8908.0,16556.0,0.5380526697269872,False,pdom_dist
max,7089,128,0.1,segr_h32,17051.0,16777.0,32824.0,0.5194674628320741,False,pdom_dist
max,7089,128,0.2,segr_h32,27510.0,17870.0,60709.0,0.45314533265248974,False,pdom_dist
mem_ctrl,7089,128,0.05,segr_h32,5882.0,261189.0,286023.0,0.02056477975547421,True,index_mid
mem_ctrl,7089,128,0.1,segr_h32,11922.0,387079.0,434533.0,0.02743635120922922,True,index_mid
mem_ctrl,7089,128,0.2,segr_h32,41400.0,451356.0,504088.0,0.08212851724302106,True,index_mid
multiplier,7089,128,0.05,segr_h32,134477.0,59077.0,171087.0,0.786015302156213,False,sink_reach_near_pr
multiplier,7089,128,0.1,segr_h32,233084.0,95714.0,325228.0,0.7166787607463072,False,sink_reach_near_pr
multiplier,7089,128,0.2,segr_h32,386064.0,160423.0,550743.0,0.7009875749669083,False,sink_reach_near_pr
priority,7089,128,0.05,segr_h32,3089.0,2834.0,4491.0,0.6878200846136718,False,wl3_common_dist
priority,7089,128,0.1,segr_h32,5834.0,5060.0,8146.0,0.7161797201080284,False,wl3_common_dist
priority,7089,128,0.2,segr_h32,10688.0,10158.0,14661.0,0.7290089352704454,False,wl3_common_dist
router,7089,128,0.05,segr_h32,788.0,544.0,1148.0,0.686411149825784,False,pdom_dist
router,7089,128,0.1,segr_h32,1107.0,955.0,1378.0,0.8033381712626996,False,pdom_dist
router,7089,128,0.2,segr_h32,1241.0,1128.0,1442.0,0.8606102635228848,False,pdom_dist
sin,7089,128,0.05,segr_h32,25903.0,15977.0,34560.0,0.7495081018518519,False,pdom_dist
sin,7089,128,0.1,segr_h32,46838.0,29131.0,68881.0,0.6799843207851222,False,pdom_dist
sin,7089,128,0.2,segr_h32,82905.0,56215.0,131020.0,0.6327659899252023,False,pdom_dist
sqrt,7089,128,0.05,segr_h32,17851.0,5379.0,33084.0,0.5395659533309153,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.1,segr_h32,37122.0,11582.0,50636.0,0.7331147799984201,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.2,segr_h32,58451.0,23931.0,72936.0,0.8014012284742789,False,role_depth_resonance_idx_inv_dist
square,7089,128,0.05,segr_h32,101992.0,90387.0,117504.0,0.8679874727668845,False,mass_balance
square,7089,128,0.1,segr_h32,195729.0,171673.0,235008.0,0.832861008986928,False,mass_balance
square,7089,128,0.2,segr_h32,381598.0,328803.0,468825.0,0.8139455020530049,False,mass_balance
voter,7089,128,0.05,segr_h32,19379.0,17846.0,35517.0,0.5456260382352113,False,index_mid
voter,7089,128,0.1,segr_h32,38479.0,38209.0,64316.0,0.598280365694384,False,index_mid
voter,7089,128,0.2,segr_h32,78080.0,76717.0,111925.0,0.6976100067009158,False,index_mid
adder,7089,128,0.05,segr_h128,4365.0,4365.0,5760.0,0.7578125,False,pdom_dist
adder,7089,128,0.1,segr_h128,8720.0,8720.0,11520.0,0.7569444444444444,False,pdom_dist
adder,7089,128,0.2,segr_h128,17245.0,17245.0,22912.0,0.7526623603351955,False,pdom_dist
arbiter,7089,128,0.05,segr_h128,36402.0,36110.0,43102.0,0.8445547770405085,False,pdom_dist
arbiter,7089,128,0.1,segr_h128,53987.0,50079.0,57142.0,0.944786671800077,False,pdom_dist
arbiter,7089,128,0.2,segr_h128,62691.0,61694.0,63284.0,0.9906295430124518,False,pdom_dist
bar,7089,128,0.05,segr_h128,15463.0,15463.0,16311.0,0.9480105450309607,False,pdom_dist
bar,7089,128,0.1,segr_h128,28736.0,28736.0,28736.0,1.0,False,pdom_dist
bar,7089,128,0.2,segr_h128,39346.0,39326.0,39500.0,0.9961012658227848,False,pdom_dist
cavlc,7089,128,0.05,segr_h128,2088.0,2088.0,2488.0,0.8392282958199357,False,pdom_dist
cavlc,7089,128,0.1,segr_h128,3038.0,2810.0,3300.0,0.9206060606060606,False,pdom_dist
cavlc,7089,128,0.2,segr_h128,3750.0,3512.0,3979.0,0.9424478512188992,False,pdom_dist
ctrl,7089,128,0.05,segr_h128,1152.0,1152.0,1152.0,1.0,False,pdom_dist
ctrl,7089,128,0.1,segr_h128,2123.0,2123.0,2176.0,0.9756433823529411,False,pdom_dist
ctrl,7089,128,0.2,segr_h128,3423.0,3423.0,3890.0,0.8799485861182519,False,pdom_dist
dec,7089,128,0.05,segr_h128,384.0,384.0,384.0,1.0,False,index_mid
dec,7089,128,0.1,segr_h128,640.0,640.0,640.0,1.0,False,index_mid
dec,7089,128,0.2,segr_h128,1280.0,1280.0,1280.0,1.0,False,index_mid
div,7089,128,0.05,segr_h128,89238.0,34215.0,120176.0,0.7425609106643589,False,inv_depth
div,7089,128,0.1,segr_h128,110055.0,47417.0,143757.0,0.7655627204240489,False,inv_depth
div,7089,128,0.2,segr_h128,117067.0,81956.0,151704.0,0.7716803775773875,False,inv_depth
hyp,7089,128,0.05,segr_h128,584504.0,764617.0,1316997.0,0.44381574141778607,True,mass_balance
hyp,7089,128,0.1,segr_h128,1204857.0,1083944.0,2574553.0,0.4679868699537357,False,mass_balance
hyp,7089,128,0.2,segr_h128,2172046.0,1536353.0,4877593.0,0.4453110376368016,False,mass_balance
i2c,7089,128,0.05,segr_h128,8704.0,8704.0,8704.0,1.0,False,pdom_dist
i2c,7089,128,0.1,segr_h128,17408.0,17408.0,17408.0,1.0,False,pdom_dist
i2c,7089,128,0.2,segr_h128,27645.0,27645.0,28648.0,0.9649888299357722,False,pdom_dist
int2float,7089,128,0.05,segr_h128,535.0,535.0,591.0,0.9052453468697124,False,pdom_dist
int2float,7089,128,0.1,segr_h128,869.0,869.0,938.0,0.9264392324093816,False,pdom_dist
int2float,7089,128,0.2,segr_h128,1234.0,1151.0,1324.0,0.93202416918429,False,pdom_dist
log2,7089,128,0.05,segr_h128,137047.0,50268.0,197008.0,0.6956418013481686,False,sink_reach_near_pr
log2,7089,128,0.1,segr_h128,227326.0,74897.0,353573.0,0.6429393647139346,False,sink_reach_near_pr
log2,7089,128,0.2,segr_h128,370340.0,145152.0,574667.0,0.6444427816457183,False,sink_reach_near_pr
max,7089,128,0.05,segr_h128,8908.0,8908.0,16556.0,0.5380526697269872,False,pdom_dist
max,7089,128,0.1,segr_h128,17051.0,16777.0,32824.0,0.5194674628320741,False,pdom_dist
max,7089,128,0.2,segr_h128,27510.0,17870.0,60709.0,0.45314533265248974,False,pdom_dist
mem_ctrl,7089,128,0.05,segr_h128,261189.0,261189.0,286023.0,0.9131748146128108,False,pdom_dist
mem_ctrl,7089,128,0.1,segr_h128,389954.0,387079.0,434533.0,0.897409402738112,False,pdom_dist
mem_ctrl,7089,128,0.2,segr_h128,466847.0,451356.0,504088.0,0.926122026312866,False,pdom_dist
multiplier,7089,128,0.05,segr_h128,134477.0,59077.0,171087.0,0.786015302156213,False,sink_reach_near_pr
multiplier,7089,128,0.1,segr_h128,233084.0,95714.0,325228.0,0.7166787607463072,False,sink_reach_near_pr
multiplier,7089,128,0.2,segr_h128,386064.0,160423.0,550743.0,0.7009875749669083,False,sink_reach_near_pr
priority,7089,128,0.05,segr_h128,3089.0,2834.0,4491.0,0.6878200846136718,False,wl3_common_dist
priority,7089,128,0.1,segr_h128,5834.0,5060.0,8146.0,0.7161797201080284,False,wl3_common_dist
priority,7089,128,0.2,segr_h128,10688.0,10158.0,14661.0,0.7290089352704454,False,wl3_common_dist
router,7089,128,0.05,segr_h128,788.0,544.0,1148.0,0.686411149825784,False,pdom_dist
router,7089,128,0.1,segr_h128,1107.0,955.0,1378.0,0.8033381712626996,False,pdom_dist
router,7089,128,0.2,segr_h128,1241.0,1128.0,1442.0,0.8606102635228848,False,pdom_dist
sin,7089,128,0.05,segr_h128,25903.0,15977.0,34560.0,0.7495081018518519,False,pdom_dist
sin,7089,128,0.1,segr_h128,46838.0,29131.0,68881.0,0.6799843207851222,False,pdom_dist
sin,7089,128,0.2,segr_h128,82905.0,56215.0,131020.0,0.6327659899252023,False,pdom_dist
sqrt,7089,128,0.05,segr_h128,17851.0,5379.0,33084.0,0.5395659533309153,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.1,segr_h128,37122.0,11582.0,50636.0,0.7331147799984201,False,role_depth_resonance_idx_inv_dist
sqrt,7089,128,0.2,segr_h128,58451.0,23931.0,72936.0,0.8014012284742789,False,role_depth_resonance_idx_inv_dist
square,7089,128,0.05,segr_h128,101992.0,90387.0,117504.0,0.8679874727668845,False,mass_balance
square,7089,128,0.1,segr_h128,195729.0,171673.0,235008.0,0.832861008986928,False,mass_balance
square,7089,128,0.2,segr_h128,381598.0,328803.0,468825.0,0.8139455020530049,False,mass_balance
voter,7089,128,0.05,segr_h128,19379.0,17846.0,35517.0,0.5456260382352113,False,index_mid
voter,7089,128,0.1,segr_h128,38479.0,38209.0,64316.0,0.598280365694384,False,index_mid
voter,7089,128,0.2,segr_h128,78080.0,76717.0,111925.0,0.6976100067009158,False,index_mid
